station_name,date,time,year,month,day,hour,precip_amt,pressure,rel_hum,temp,temp_dew,wind_dir,wind_spd
NORMANDIN,2020-05-07,2020-05-07 0:00,2020,5,7,0:00,0,99.14,65,0.2,-5.6,30,12
NORMANDIN,2020-05-07,2020-05-07 1:00,2020,5,7,1:00,0,99.09,67,-0.2,-5.6,31,8
NORMANDIN,2020-05-07,2020-05-07 2:00,2020,5,7,2:00,0,99.05,69,-1,-5.9,31,7
NORMANDIN,2020-05-07,2020-05-07 3:00,2020,5,7,3:00,0,99.03,73,-1.7,-6,29,13
NORMANDIN,2020-05-07,2020-05-07 4:00,2020,5,7,4:00,0,99,77,-2.5,-5.9,28,13
NORMANDIN,2020-05-07,2020-05-07 5:00,2020,5,7,5:00,0,98.98,75,-1.3,-5.1,31,7
NORMANDIN,2020-05-07,2020-05-07 6:00,2020,5,7,6:00,0,98.96,65,0.5,-5.2,32,9
NORMANDIN,2020-05-07,2020-05-07 7:00,2020,5,7,7:00,0,98.96,56,3,-4.9,30,9
NORMANDIN,2020-05-07,2020-05-07 8:00,2020,5,7,8:00,0,98.9,46,5.2,-5.5,35,6
NORMANDIN,2020-05-07,2020-05-07 9:00,2020,5,7,9:00,0,98.83,38,7,-6.3,35,3
NORMANDIN,2020-05-07,2020-05-07 10:00,2020,5,7,10:00,0,98.76,32,8.6,-7.2,27,5
NORMANDIN,2020-05-07,2020-05-07 11:00,2020,5,7,11:00,0,98.67,32,9.8,-5.9,14,8
NORMANDIN,2020-05-07,2020-05-07 12:00,2020,5,7,12:00,0,98.59,31,10.5,-5.8,18,8
NORMANDIN,2020-05-07,2020-05-07 13:00,2020,5,7,13:00,0,98.53,33,11,-4.7,9,5
NORMANDIN,2020-05-07,2020-05-07 14:00,2020,5,7,14:00,0,98.49,31,11.2,-5.2,26,16
NORMANDIN,2020-05-07,2020-05-07 15:00,2020,5,7,15:00,0,98.46,37,10,-4.2,33,10
NORMANDIN,2020-05-07,2020-05-07 16:00,2020,5,7,16:00,0,98.47,42,9.6,-2.6,28,14
NORMANDIN,2020-05-07,2020-05-07 17:00,2020,5,7,17:00,0,98.45,47,8.7,-1.9,30,20
NORMANDIN,2020-05-07,2020-05-07 18:00,2020,5,7,18:00,0,98.5,61,4.9,-2,31,29
NORMANDIN,2020-05-07,2020-05-07 19:00,2020,5,7,19:00,0,98.57,67,3.2,-2.3,31,35
NORMANDIN,2020-05-07,2020-05-07 20:00,2020,5,7,20:00,0,98.62,92,0.7,-0.5,30,30
NORMANDIN,2020-05-07,2020-05-07 21:00,2020,5,7,21:00,0,98.64,93,-0.4,-1.4,30,30
NORMANDIN,2020-05-07,2020-05-07 22:00,2020,5,7,22:00,0,98.65,93,-1.1,-2.1,30,31
NORMANDIN,2020-05-07,2020-05-07 23:00,2020,5,7,23:00,0.7,98.62,93,-1.8,-2.8,31,29
NORMANDIN,2020-05-08,2020-05-08 0:00,2020,5,8,0:00,0.5,98.56,93,-2.1,-3.1,30,25
NORMANDIN,2020-05-08,2020-05-08 1:00,2020,5,8,1:00,0.3,98.55,94,-2.3,-3.2,30,22
NORMANDIN,2020-05-08,2020-05-08 2:00,2020,5,8,2:00,0,98.54,88,-2.5,-4.2,30,26
NORMANDIN,2020-05-08,2020-05-08 3:00,2020,5,8,3:00,0.2,98.56,89,-2.8,-4.3,30,19
NORMANDIN,2020-05-08,2020-05-08 4:00,2020,5,8,4:00,0,98.55,81,-3.2,-6,31,26
NORMANDIN,2020-05-08,2020-05-08 5:00,2020,5,8,5:00,0,98.57,81,-3.5,-6.2,30,20
NORMANDIN,2020-05-08,2020-05-08 6:00,2020,5,8,6:00,0,98.61,77,-3.7,-7.2,30,26
NORMANDIN,2020-05-08,2020-05-08 7:00,2020,5,8,7:00,0,98.61,74,-3.6,-7.5,30,21
NORMANDIN,2020-05-08,2020-05-08 8:00,2020,5,8,8:00,0,98.64,74,-3.3,-7.4,29,24
NORMANDIN,2020-05-08,2020-05-08 9:00,2020,5,8,9:00,0,98.69,71,-2.6,-7.1,29,25
NORMANDIN,2020-05-08,2020-05-08 10:00,2020,5,8,10:00,0,98.67,69,-1.7,-6.6,31,22
NORMANDIN,2020-05-08,2020-05-08 11:00,2020,5,8,11:00,0,98.68,65,-0.9,-6.7,29,22
NORMANDIN,2020-05-08,2020-05-08 12:00,2020,5,8,12:00,0,98.68,60,0.6,-6.2,27,22
NORMANDIN,2020-05-08,2020-05-08 13:00,2020,5,8,13:00,0,98.68,58,1.8,-5.7,30,15
NORMANDIN,2020-05-08,2020-05-08 14:00,2020,5,8,14:00,0,98.66,49,3.4,-6.3,30,17
NORMANDIN,2020-05-08,2020-05-08 15:00,2020,5,8,15:00,0,98.66,45,3.5,-7.3,30,19
NORMANDIN,2020-05-08,2020-05-08 16:00,2020,5,8,16:00,0,98.66,47,3.3,-6.9,33,19
NORMANDIN,2020-05-08,2020-05-08 17:00,2020,5,8,17:00,0,98.67,47,2.8,-7.6,33,25
NORMANDIN,2020-05-08,2020-05-08 18:00,2020,5,8,18:00,0,98.7,51,1.8,-7.3,31,17
NORMANDIN,2020-05-08,2020-05-08 19:00,2020,5,8,19:00,0,98.74,53,0.6,-7.8,31,17
